name,color
2nd at Folsom,#377eb8
2nd at South Park,#377eb8
2nd at Townsend,#377eb8
5th at Howard,#377eb8
Adobe on Almaden,#4daf4a
Arena Green / SAP Center,#4daf4a
Beale at Market,#377eb8
Broadway St at Battery St,#377eb8
Broadway at Main,#e41a1c
California Ave Caltrain Station,#984ea3
Castro Street and El Camino Real,#ff7f00
Civic Center BART (7th at Market),#377eb8
Clay at Battery,#377eb8
Commercial at Montgomery,#377eb8
Cowper at University,#984ea3
Davis at Jackson,#377eb8
Embarcadero at Bryant,#377eb8
Embarcadero at Folsom,#377eb8
Embarcadero at Sansome,#377eb8
Embarcadero at Vallejo,#377eb8
Evelyn Park and Ride,#ff7f00
Franklin at Maple,#e41a1c
Golden Gate at Polk,#377eb8
Grant Avenue at Columbus Avenue,#377eb8
Harry Bridges Plaza (Ferry Building),#377eb8
Howard at 2nd,#377eb8
Japantown,#4daf4a
MLK Library,#4daf4a
Market at 10th,#377eb8
Market at 4th,#377eb8
Market at Sansome,#377eb8
Mechanics Plaza (Market at Battery),#377eb8
Mezes Park,#e41a1c
Mountain View Caltrain Station,#ff7f00
Mountain View City Hall,#ff7f00
Palo Alto Caltrain Station,#984ea3
Park at Olive,#984ea3
Paseo de San Antonio,#4daf4a
Post at Kearney,#377eb8
Powell Street BART,#377eb8
Powell at Post (Union Square),#377eb8
Redwood City Caltrain Station,#e41a1c
Redwood City Medical Center,#e41a1c
Redwood City Public Library,#e41a1c
Rengstorff Avenue / California Street,#ff7f00
SJSU - San Salvador at 9th,#4daf4a
SJSU 4th at San Carlos,#4daf4a
San Antonio Caltrain Station,#ff7f00
San Antonio Shopping Center,#ff7f00
San Francisco Caltrain (Townsend at 4th),#377eb8
San Francisco Caltrain 2 (330 Townsend),#377eb8
San Francisco City Hall,#377eb8
San Jose City Hall,#4daf4a
San Jose Civic Center,#4daf4a
San Jose Diridon Caltrain Station,#4daf4a
San Jose Government Center,#4daf4a
San Mateo County Center,#e41a1c
San Pedro Square,#4daf4a
San Salvador at 1st,#4daf4a
Santa Clara at Almaden,#4daf4a
South Van Ness at Market,#377eb8
Spear at Folsom,#377eb8
St James Park,#4daf4a
Steuart at Market,#377eb8
Temporary Transbay Terminal (Howard at Beale),#377eb8
Townsend at 7th,#377eb8
University and Emerson,#984ea3
Washington at Kearney,#377eb8
Yerba Buena Center of the Arts (3rd @ Howard),#377eb8
